Maturity,Df,Spread,Dt,Survival,Default,Hazard Rate
0,0.9994248230119861,0.0,0.0,1.0,0.0,0.0
1,0.9704455335485082,0.0041259999999999995,1.0,0.9931702989111544,0.006829701088845619,0.0068531302343031895
2,0.9417645335842487,0.005836999999999999,1.0,0.980711170063447,0.01928882993655301,0.012624156526132477
3,0.9139311852712282,0.007244,1.0,0.9642269301791351,0.03577306982086492,0.016951320564366244
4,0.887319580848143,0.008553,1.0,0.9439633992489251,0.05603660075107486,0.021239278245557994
5,0.8607079764250578,0.01138,1.0,0.90701902061624,0.09298097938376004,0.03992397260556785
