Maturity,Df,Spread,Dt,Survival,Default,Hazard Rate
0,0.9994248230119861,0.0,0.0,1.0,0.0,0.0
1,0.9704455335485082,0.0006190000000000001,1.0,0.9989693965725359,0.001030603427464083,0.0010311348643415878
2,0.9417645335842487,0.000889,1.0,0.9970289054328624,0.002971094567137622,0.0019443821661362663
3,0.9139311852712282,0.001261,1.0,0.9936459490577064,0.0063540509422935765,0.0033988068158410834
4,0.887319580848143,0.001853,1.0,0.987464445625655,0.012535554374344948,0.006240463438432557
5,0.8607079764250578,0.002431,1.0,0.979363361353051,0.02063663864694898,0.008237762406990382
