Maturity,Df,Spread,Dt,Survival,Default,Hazard Rate
0,0.9994248230119861,0.0,0.0,1.0,0.0,0.0
1,0.9704455335485082,0.0008029999999999999,1.0,0.9986634554088445,0.0013365445911555085,0.0013374385635223191
2,0.9417645335842487,0.001094,1.0,0.9963476789906744,0.0036523210093255543,0.0023215684547794337
3,0.9139311852712282,0.001441,1.0,0.9927563647991514,0.007243635200848586,0.0036109906920884643
4,0.887319580848143,0.001913,1.0,0.9871136276076471,0.012886372392352907,0.00570012424200993
5,0.8607079764250578,0.0026100000000000003,1.0,0.977878690928425,0.022121309071574946,0.009399532593752596
